id_salario,id_empleado,salario,bono
S6000,EM432,586.98,281.04
S6001,EM454,,473.55
S6002,EM406,1583.76,248.13
S6003,EM456,1647.0,190.26
S6004,EM525,2750.51,81.52
S6005,EM411,3251.2,393.1
S6006,EM415,3350.33,
S6007,EM442,2210.22,192.18
S6008,EM516,1539.22,12.6
S6009,,2852.02,419.5
S6010,EM450,1215.55,5.71
S6011,EM474,2170.43,351.85
S6012,EM407,1543.66,485.13
S6013,EM444,2452.72,218.83
S6014,EM458,1183.22,117.49
S6015,EM503,1034.36,352.44
S6016,EM497,3250.63,408.56
S6017,EM478,760.5,273.22 USD
S6018,EM523,1993.17,483.52
S6019,EM403,1123.6,25.83
S6020,EM489,568.74,252.4
S6021,,559.86,359.23
S6022,EM518,984.43,431.32
S6023,EM455,3093.65,89.63
S6024,EM495,1311.56,400.0
S6025,EM474,3348.9,276.35
S6026,EM431,2223.95,198.28
S6027,,$ 1781.67,65.86
S6028,EM421,2219.27,432.65
S6029,EM416,2025.93,78.64
S6030,EM458,2764.27,154.89
S6031,EM489,1311.61,145.02
S6032,EM505,1526.8,435.71
S6033,EM425,3176.99,336.35
S6034,EM424,,398.34
S6035,EM444,3172.3,sin bono
S6036,EM482,1729.32,312.44
S6037,EM410,2830.11,285.87
S6038,EM503,1902.82,416.42
S6039,EM467,1967.5,453.04
S6040,EM494,1074.27,6.08
S6041,EM464,2252.95,337.01
S6042,EM448,1017.71,25.92
S6043,EM451,1461.27,274.43
S6044,EM501,3057.84,143.82
S6045,EM456,,153.39
S6046,EM446,667.03,sin bono
S6047,EM425,660.47,310.65
S6048,EM513,3319.39,167.02
S6049,EM404,1996.11,366.35
S6050,EM483,$ 1698.71,202.26
S6051,EM451,2923.18$,34.18
S6052,EM504,2999.27,391.88
S6053,EM453,1463.18,
S6054,EM414,2565.54,216.38
S6055,EM460,2801.92,342.72
S6056,EM521,2446.68,166.23
S6057,EM420,912.36,28.29
S6058,EM445,3121.44,186.96
S6059,EM437,2094.24,472.22
S6060,EM461,1311.54,320.87
S6061,EM485,1746.95,sin bono
S6062,EM477,564.59,316.14
S6063,,839.99,99.5
S6064,EM402,2784.92,209.17
S6065,EM405,450.04,375.47
S6066,EM492,1720.53,50.69
S6067,EM407,2043.66,138.93
S6068,EM507,616.63,138.16
S6069,EM474,3417.89,216.01
S6070,EM476,1139.68,490.18
S6071,EM449,1377.81,33.75
S6072,EM410,1377.02,259.35
S6073,EM494,1152.77,89.68
S6074,EM469,454.5,sin bono
S6075,EM415,2674.5,56.65
S6076,EM467,$ 3398.88,201.8
S6077,EM498,,
S6078,EM447,2472.29,352.28
S6079,EM463,2712.78,211.36
S6080,EM489,3037.7$,173.26
S6081,EM475,1739.02,198.81
S6082,EM500,$ 1373.94,132.14
S6083,EM488,1442.15,102.67
S6084,EM417,$ 2623.5,241.52
S6085,EM418,,134.27
S6086,EM454,1003.92,143.73
S6087,EM501,1581.37,328.38
S6088,EM517,3200.92,484.27
S6089,EM403,2910.42,301.82
S6090,,3453.82,38.49
S6091,EM514,2750.46,37.79
S6092,EM999,1649.25,475.71
S6093,EM458,2251.45,148.65
S6094,EM524,2466.09,46.03
S6095,EM497,689.29,299.52
S6096,EM416,2110.72,311.82
S6097,EM506,2613.43$,324.25
S6098,EM442,960.33,133.7
S6099,EM479,2830.93,7.56
S6100,EM407,2230.51,482.51
S6101,EM505,$ 3354.28,125.45
S6102,EM407,579.39,338.01
S6103,EM495,1259.24,353.31
S6104,EM493,2284.74,sin bono
S6105,EM464,1354.51,156.45
S6106,EM438,2628.99,135.55
S6107,,2764.97,298.83
S6108,EM483,762.67,433.05
S6109,EM487,2017.26,473.37
S6110,EM485,$ 2002.12,52.95
S6111,EM492,1576.31,77.41
S6112,EM485,$ 3295.42,sin bono
S6113,EM443,2973.89,368.27
S6114,EM473,2576.49,441.5
S6115,EM435,2628.7,101.32
S6116,EM500,1858.23,293.79
S6117,EM503,$ 3259.03,350.57
S6118,EM465,2568.52,340.06 USD
S6119,EM454,2673.39,204.08
S6120,EM490,3078.16,7.7
S6121,EM421,1285.92,291.46
S6122,EM500,,126.55
S6123,EM520,1045.48,225.13
S6124,EM492,1503.29,478.79
S6125,EM507,1473.61,199.52
S6126,EM409,3434.5,419.9
S6127,EM408,3062.44,
S6128,EM433,2588.57,336.23
S6129,EM999,2667.52,488.5
S6105,EM464,1354.51,156.45
S6096,EM416,2110.72,311.82
S6041,EM464,2252.95,337.01
S6128,EM433,2588.57,336.23
S6116,EM500,1858.23,293.79
S6059,EM437,2094.24,472.22
